ID_ESTUDANTE,NOME,CPF,ID_TURMA
1,Felícia Reis Neto,281.017.888-75,3
2,Esther Carvalho,802.128.286-06,3
3,Gabriel Reis,134.034.645-12,3
4,Hélio Barros,282.725.243-09,2
5,Feliciano Souza,727.017.813-53,1
6,Dalila Nogueira,218.547.806-03,2
7,Pedro Batista,707.436.666-82,1
8,Esther Carvalho,225.321.543-06,1
9,Esther Reis,718.782.348-70,1
10,Heloísa Barros Neto,750.047.423-75,3
11,Dr. Gael Saraiva,445.155.033-59,1
12,Eloá Martins,867.164.856-78,2
13,Valentina Nogueira,487.848.022-00,1
14,Natália Santos,523.176.348-97,2
15,Vicente Carvalho,348.277.804-39,1
16,Silas Nogueira,144.038.278-61,3
17,Lívia Macedo,741.166.728-58,2
18,Isabella Saraiva,635.441.634-62,2
19,Srta. Giovanna Oliveira,108.338.426-09,2
20,João Silva Neto,053.017.421-91,2
21,Fabiano Braga Filho,482.443.811-08,3
22,Fabrício Santos,114.650.117-06,3
23,Joaquim Costa,226.284.077-60,3
24,Marcela Macedo,454.076.160-92,1
25,Emanuelly Batista,018.874.417-78,1
26,Sarah Santos,144.268.805-05,1
27,Lorenzo Albuquerque,220.576.027-02,1
28,Danilo Moraes,672.856.266-43,2
29,Elísio Carvalho,246.814.686-73,3
30,Alícia Moreira,615.572.554-31,1
31,Natália Oliveira,087.864.476-88,3
32,Maria Alice Santos,137.754.136-34,2
33,Giovanna Braga,322.472.217-77,1
34,Sr. Suélen Carvalho,576.471.147-94,3
35,Alexandre Costa,853.787.268-75,2
36,Davi Lucca Oliveira,847.381.133-05,1
37,Félix Moreira,778.626.282-25,3
38,Karla Nogueira,873.673.827-13,1
39,Norberto Carvalho,507.628.440-35,2
40,João Pedro Batista,240.660.701-16,3
41,Sirineu Moreira,757.340.770-03,3
42,Margarida Oliveira,556.610.713-37,1
43,Lorena Santos Neto,510.371.024-28,2
44,Isis Santos,216.546.744-60,3
45,Alessandra Pereira,487.426.661-47,2
46,Isis Reis,181.578.405-97,1
47,Lavínia Oliveira,851.088.512-51,2
48,Pedro Martins,045.063.714-02,3
49,Lara Silva,776.310.755-30,2
50,Antônio Moraes,142.700.888-42,2
51,Emanuelly Carvalho,006.004.757-78,1
52,Isabella Silva,174.233.742-29,1
53,Víctor Barros,308.344.133-96,1
54,Heitor Nogueira,874.515.250-07,1
55,Yasmin Reis,378.680.813-92,3
56,Dr. Lorraine Franco,211.287.577-96,1
57,Dr. Alícia Pereira,441.147.473-54,2
58,Marcos Barros Neto,570.823.756-20,3
59,Leonardo Franco,031.826.415-30,2
